dnn,latency,cycle_per_inference,utilization,throughput,computational_density,cd_error,energy,energy_efficiency,minimum_required_chips,hyper_transport,router,eDRAM,eDRAM_bus,tile_SA,tile_OR,IR,IMA_SA,IMA_OR,DAC,CB,SH,ADC
AlexNet,6723.0,6723.0,3.081,3778.537,14.769,0.993,4.08,622.625,3.0,646318730158.7301,109625600000.0,216117716975.616,73083546238.976,522023325.696,17539935633.408,155352890867.712,25057280000.0,28814669250.56,501145600000.0,300687360000.0,1252142350.336,2004582400000.0
VGG-11,24695.0,24695.0,3.153,6162.454,14.452,5.313,25.558,595.437,5.0,4048505396825.3975,686688800000.0001,1353749632647.168,457791361384.448,3269925739.008,109869203472.384,973122064613.376,156957440000.0,180493522042.88,3139148800000.0,1883489280000.0,7843351625.728,12556595200000.0
VGG-16,77605.0,77605.0,2.01,3986.925,9.35,3.927,51.212,604.166,5.0,8112363174603.175,1375981600000.0,2712632833867.776,917318718324.736,6552251398.656,220155043135.48798,1949934315896.832,314510080000.0,361671495516.16003,6290201600000.0,3774120960000.0,15716446109.696,25160806400000.0
VGG-19,129511.0,129511.0,1.516,3031.721,7.11,3.119,64.448,609.237,5.0,10209003174603.174,1731604000000.0,3413712702013.44,1154399711395.84,8245680560.639999,277054106910.72,2453894776750.08,395795200000.0,455145481830.4,7915904000000.0,4749542400000.0,19778361098.239998,31663616000000.0
MSRA-A,116678.0,116678.0,1.593,3261.754,7.649,0.821,61.016,623.73,5.0,9665429841269.84,1639405599999.9998,3231951254716.416,1092934268747.776,7806643370.495999,262302497783.80798,2323238360973.312,374721280000.0,430911485378.56,7494425600000.0,4496655360000.0,18725272027.135998,29977702400000.0
MSRA-B,172584.0,172584.0,1.311,2687.45,6.302,0.679,74.252,624.644,5.0,11762069841269.842,1995028000000.0,3933031122862.0796,1330015261818.8801,9500072532.48,319201561559.04,2827198821826.56,456006400000.0,524385471692.80005,9120128000000.0,5472076800000.0,22787187015.68,36480512000000.0
MSRA-C,186200.0,186200.0,1.549,5737.03,7.474,0.324,170.405,626.88,9.0,26993447619047.617,4578504000000.0,9026138343997.44,3052328186019.84,21802260464.64,732553942302.72,6488300472238.08,1046515200000.0,1203442247270.4001,20930304000000.0,12558182400000.0,52295620362.24,83721216000000.0
AVG,101999.429,101999.429,2.03,4092.267,9.587,2.168,64.424,615.246,5.286,10205305396825.396,1730976800000.0,3412476229582.848,1153981579132.928,8242693913.088,276953755828.224,2453005957595.136,395651840000.0,454980624711.68,7913036800000.0,4747822080000.0,19771197227.008,31652147200000.0
